Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1120,22,04-04-2025 18:30,TD Garden,Boston Celtics,Phoenix Suns,123,103,Boston Celtics
1121,22,04-04-2025 18:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,105,117,Detroit Pistons
1122,22,04-04-2025 19:00,United Center,Chicago Bulls,Portland Trail Blazers,118,113,Chicago Bulls
1123,22,04-04-2025 19:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,125,111,Houston Rockets
1124,22,04-04-2025 19:00,Frost Bank Center,San Antonio Spurs,Cleveland Cavaliers,113,114,Cleveland Cavaliers
1125,22,04-04-2025 21:00,Chase Center,Golden State Warriors,Denver Nuggets,118,104,Golden State Warriors
1126,22,04-04-2025 21:30,Crypto.com Arena,Los Angeles Lakers,New Orleans Pelicans,124,108,Los Angeles Lakers
1127,22,04-04-2025 21:30,Intuit Dome,LA Clippers,Dallas Mavericks,114,91,LA Clippers
1128,22,05-04-2025 14:00,State Farm Arena,Atlanta Hawks,New York Knicks,105,121,New York Knicks
1129,22,05-04-2025 18:00,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,103,109,Memphis Grizzlies
1130,22,05-04-2025 18:00,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,109,114,Minnesota Timberwolves
1131,22,05-04-2025 19:00,Kaseya Center,Miami Heat,Milwaukee Bucks,115,121,Milwaukee Bucks
1132,22,05-04-2025 21:30,Intuit Dome,LA Clippers,Dallas Mavericks,135,104,LA Clippers
1133,22,06-04-2025 12:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,117,131,Chicago Bulls
1134,22,06-04-2025 14:30,Barclays Center,Brooklyn Nets,Toronto Raptors,109,120,Toronto Raptors
1135,22,06-04-2025 14:30,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,99,126,Los Angeles Lakers
1136,22,06-04-2025 17:00,State Farm Arena,Atlanta Hawks,Utah Jazz,147,134,Atlanta Hawks
1137,22,06-04-2025 17:00,TD Garden,Boston Celtics,Washington Wizards,124,90,Boston Celtics
1138,22,06-04-2025 17:00,Rocket Arena,Cleveland Cavaliers,Sacramento Kings,113,120,Sacramento Kings
1139,22,06-04-2025 17:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,120,109,Portland Trail Blazers
1140,22,06-04-2025 18:00,Madison Square Garden,New York Knicks,Phoenix Suns,112,98,New York Knicks
1142,22,06-04-2025 19:00,Ball Arena,Denver Nuggets,Indiana Pacers,120,125,Indiana Pacers
617,22,06-04-2025 19:30,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,107,111,Milwaukee Bucks
1143,22,06-04-2025 19:30,Chase Center,Golden State Warriors,Houston Rockets,96,106,Houston Rockets
1144,22,07-04-2025 18:00,Little Caesars Arena,Detroit Pistons,Sacramento Kings,117,127,Sacramento Kings
1145,22,07-04-2025 18:30,Kaseya Center,Miami Heat,Philadelphia 76ers,117,105,Miami Heat
1146,22,08-04-2025 18:00,Spectrum Center,Charlotte Hornets,Memphis Grizzlies,100,124,Memphis Grizzlies
1147,22,08-04-2025 18:00,Rocket Arena,Cleveland Cavaliers,Chicago Bulls,135,113,Cleveland Cavaliers
1148,22,08-04-2025 18:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,104,98,Indiana Pacers
1149,22,08-04-2025 18:00,Kia Center,Orlando Magic,Atlanta Hawks,119,112,Orlando Magic
1150,22,08-04-2025 18:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,119,114,Brooklyn Nets
1151,22,08-04-2025 18:30,Madison Square Garden,New York Knicks,Boston Celtics,117,119,Boston Celtics
1152,22,08-04-2025 19:00,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,110,103,Milwaukee Bucks
1153,22,08-04-2025 19:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,136,120,Oklahoma City Thunder
1154,22,08-04-2025 21:00,PHX Arena,Phoenix Suns,Golden State Warriors,95,133,Golden State Warriors
1155,22,08-04-2025 21:30,Intuit Dome,LA Clippers,San Antonio Spurs,122,117,LA Clippers
1156,23,09-04-2025 18:00,Kia Center,Orlando Magic,Boston Celtics,96,76,Orlando Magic
1157,23,09-04-2025 18:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,103,122,Philadelphia 76ers
1158,23,09-04-2025 18:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,126,96,Toronto Raptors
1159,23,09-04-2025 18:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,97,112,Los Angeles Lakers
1160,23,09-04-2025 19:00,United Center,Chicago Bulls,Miami Heat,119,111,Chicago Bulls
1162,23,09-04-2025 20:00,Delta Center,Utah Jazz,Portland Trail Blazers,133,126,Utah Jazz
1163,23,09-04-2025 21:00,Chase Center,Golden State Warriors,San Antonio Spurs,111,114,San Antonio Spurs
1164,23,09-04-2025 21:00,PHX Arena,Phoenix Suns,Oklahoma City Thunder,112,125,Oklahoma City Thunder
1165,23,09-04-2025 21:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,116,124,Denver Nuggets
