Year,Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Winner
2023,115,20,16-03-2024 14:30,Marden Sports Complex,Adelaide United,Brisbane Roar,1,2,Brisbane Roar
2023,116,20,16-03-2024 16:00,Wanderers Football Park,Western Sydney Wanderers,Perth Glory,1,0,Western Sydney Wanderers
2023,117,20,17-03-2024 14:00,Home of the Matildas,Melbourne Victory,Melbourne City,0,0,Draw
2023,118,20,17-03-2024 14:00,Porirua Park,Wellington Phoenix,Sydney,2,4,Sydney
2023,119,20,17-03-2024 15:00,Industree Group Stadium,Central Coast Mariners,Canberra United,4,1,Central Coast Mariners
2023,120,20,17-03-2024 16:00,Regional Football Facility Tarneit,Western United,Newcastle Jets,1,3,Newcastle Jets
2023,121,21,23-03-2024 16:00,City Football Academy Field,Melbourne City,Central Coast Mariners,3,0,Melbourne City
2023,122,21,23-03-2024 16:00,No.2 Sportsground,Newcastle Jets,Melbourne Victory,3,2,Newcastle Jets
2023,123,21,23-03-2024 18:00,Wanderers Football Park,Western Sydney Wanderers,Western United,3,1,Western Sydney Wanderers
2023,124,21,24-03-2024 14:00,McKellar Park,Canberra United,Wellington Phoenix,1,0,Canberra United
2023,125,21,24-03-2024 16:00,Leichhardt Oval,Sydney,Adelaide United,3,0,Sydney
2023,126,21,24-03-2024 16:00,Perry Park,Brisbane Roar,Perth Glory,2,0,Brisbane Roar
2023,128,22,28-03-2024 19:00,Industree Group Stadium,Central Coast Mariners,Western United,1,1,Draw
2023,130,22,29-03-2024 17:00,Coopers Stadium,Adelaide United,Newcastle Jets,0,8,Newcastle Jets
2023,127,22,30-03-2024 14:00,Porirua Park,Wellington Phoenix,Western Sydney Wanderers,2,0,Wellington Phoenix
2023,129,22,30-03-2024 16:00,Perry Park,Brisbane Roar,Canberra United,1,2,Canberra United
2023,131,22,31-03-2024 16:00,Leichhardt Oval,Sydney,Melbourne Victory,0,4,Melbourne Victory
2023,132,22,31-03-2024 18:30,Macedonia Park,Perth Glory,Melbourne City,1,2,Melbourne City
2023,133,Elimination Finals,13-04-2024 18:30,Regional Football Facility Tarneit,Western United,Newcastle Jets,2,4,Newcastle Jets
2023,134,Elimination Finals,14-04-2024 16:00,Home of the Matildas,Melbourne Victory,Central Coast Mariners,0,0,Draw
2023,135,Semi Final 1,21-04-2024 15:00,Maitland Sports Ground,Newcastle Jets,Melbourne City,0,3,Melbourne City
2023,136,Semi Final 1,21-04-2024 15:00,Industree Group Stadium,Central Coast Mariners,Sydney,0,1,Sydney
2023,137,Semi Final 2,27-04-2024 15:00,Leichhardt Oval,Sydney,Central Coast Mariners,1,1,Draw
2023,138,Semi Final 2,28-04-2024 13:00,AAMI Park,Melbourne City,Newcastle Jets,3,0,Melbourne City
2023,139,Grand Final,04-05-2024 16:15,AAMI Park,Melbourne City,Sydney,0,1,Sydney
2024,1,1,01-11-2024 19:00,Ironbark Fields,Western United,Wellington Phoenix,4,2,Western United
2024,2,1,02-11-2024 14:15,Industree Group Stadium,Central Coast Mariners,Sydney,3,1,Central Coast Mariners
2024,3,1,02-11-2024 16:00,McKellar Park,Canberra United,Brisbane Roar,3,2,Canberra United
2024,4,1,02-11-2024 17:00,ServiceFM Stadium,Adelaide United,Melbourne Victory,2,3,Melbourne Victory
2024,5,1,03-11-2024 15:00,City Football Academy Field,Melbourne City,Perth Glory,5,2,Melbourne City
2024,6,1,03-11-2024 16:00,Cessnock Sportsground,Newcastle Jets,Western Sydney Wanderers,2,2,Draw
2024,7,2,08-11-2024 19:00,Ironbark Fields,Western United,Central Coast Mariners,0,0,Draw
2024,8,2,09-11-2024 14:15,AAMI Park,Melbourne Victory,Melbourne City,2,3,Melbourne City
2024,9,2,09-11-2024 16:00,Perry Park,Brisbane Roar,Sydney,1,0,Brisbane Roar
2024,10,2,10-11-2024 14:00,Porirua Park,Wellington Phoenix,Canberra United,0,1,Canberra United
2024,11,2,10-11-2024 15:00,Wanderers Football Park,Western Sydney Wanderers,Adelaide United,0,2,Adelaide United
2024,12,2,10-11-2024 18:00,HBF Park,Perth Glory,Newcastle Jets,3,2,Perth Glory
2024,13,3,15-11-2024 19:00,Perry Park,Brisbane Roar,Perth Glory,3,0,Brisbane Roar
2024,14,3,16-11-2024 14:15,Leichhardt Oval,Sydney,Western Sydney Wanderers,1,0,Sydney
2024,15,3,16-11-2024 16:00,City Football Academy Field,Melbourne City,Central Coast Mariners,2,2,Draw
