Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1044,21,16-03-2023 18:30,Scotiabank Arena,Toronto Raptors,Oklahoma City Thunder,128,111,Toronto Raptors
1045,21,16-03-2023 19:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,123,139,Indiana Pacers
1046,21,16-03-2023 21:00,Footprint Center,Phoenix Suns,Orlando Magic,116,113,Phoenix Suns
1047,21,17-03-2023 18:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,82,121,Philadelphia 76ers
1048,21,17-03-2023 18:30,State Farm Arena,Atlanta Hawks,Golden State Warriors,127,119,Atlanta Hawks
1049,21,17-03-2023 18:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Washington Wizards,117,94,Cleveland Cavaliers
1050,21,17-03-2023 19:00,United Center,Chicago Bulls,Minnesota Timberwolves,139,131,Chicago Bulls
1051,21,17-03-2023 19:00,Toyota Center,Houston Rockets,New Orleans Pelicans,114,112,Houston Rockets
1052,21,17-03-2023 19:00,AT&T Center,San Antonio Spurs,Memphis Grizzlies,120,126,Memphis Grizzlies
1053,21,17-03-2023 21:00,Moda Center,Portland Trail Blazers,Boston Celtics,112,126,Boston Celtics
1054,21,17-03-2023 21:30,Crypto.com Arena,Los Angeles Lakers,Dallas Mavericks,110,111,Dallas Mavericks
1055,21,18-03-2023 12:00,Madison Square Garden,New York Knicks,Denver Nuggets,116,110,New York Knicks
1056,21,18-03-2023 14:00,Crypto.com Arena,LA Clippers,Orlando Magic,108,113,Orlando Magic
1057,21,18-03-2023 18:00,Gainbridge Fieldhouse,Indiana Pacers,Philadelphia 76ers,121,141,Philadelphia 76ers
1058,21,18-03-2023 18:00,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,122,107,Toronto Raptors
1059,21,18-03-2023 19:00,Capital One Arena,Washington Wizards,Sacramento Kings,118,132,Sacramento Kings
1060,21,18-03-2023 19:00,United Center,Chicago Bulls,Miami Heat,113,99,Chicago Bulls
1061,21,18-03-2023 19:00,FedExForum,Memphis Grizzlies,Golden State Warriors,133,119,Memphis Grizzlies
1062,21,18-03-2023 20:00,Vivint Arena,Utah Jazz,Boston Celtics,118,117,Utah Jazz
1063,21,19-03-2023 14:30,Barclays Center,Brooklyn Nets,Denver Nuggets,102,108,Denver Nuggets
1064,21,19-03-2023 14:30,Paycom Center,Oklahoma City Thunder,Phoenix Suns,124,120,Oklahoma City Thunder
