Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
18/04/2018,Crotone,Juventus,Draw,1,1
18/04/2018,Fiorentina,Lazio,Lazio,3,4
18/04/2018,Napoli,Udinese,Napoli,4,2
18/04/2018,Roma,Genoa,Roma,2,1
18/04/2018,Sampdoria,Bologna,Sampdoria,1,0
18/04/2018,Spal,Chievo,Draw,0,0
18/04/2018,Torino,AC Milan,Draw,1,1
18/04/2018,Verona,Sassuolo,Sassuolo,0,1
21/04/2018,Spal,Roma,Roma,0,3
21/04/2018,Sassuolo,Fiorentina,Sassuolo,1,0
21/04/2018,AC Milan,Benevento,Benevento,0,1
22/04/2018,Cagliari,Bologna,Draw,0,0
22/04/2018,Atalanta,Torino,Atalanta,2,1
22/04/2018,Chievo,Inter Milan,Inter Milan,1,2
22/04/2018,Lazio,Sampdoria,Lazio,4,0
22/04/2018,Udinese,Crotone,Crotone,1,2
22/04/2018,Juventus,Napoli,Napoli,0,1
23/04/2018,Genoa,Verona,Genoa,3,1
28/04/2018,Roma,Chievo,Roma,4,1
28/04/2018,Inter Milan,Juventus,Juventus,2,3
29/04/2018,Crotone,Sassuolo,Crotone,4,1
29/04/2018,Atalanta,Genoa,Atalanta,3,1
29/04/2018,Benevento,Udinese,Draw,3,3
29/04/2018,Bologna,AC Milan,AC Milan,1,2
29/04/2018,Sampdoria,Cagliari,Sampdoria,4,1
29/04/2018,Verona,Spal,Spal,1,3
29/04/2018,Fiorentina,Napoli,Fiorentina,3,0
29/04/2018,Torino,Lazio,Lazio,0,1
05/05/2018,AC Milan,Verona,AC Milan,4,1
05/05/2018,Juventus,Bologna,Juventus,3,1
06/05/2018,Udinese,Inter Milan,Inter Milan,0,4
06/05/2018,Chievo,Crotone,Chievo,2,1
06/05/2018,Genoa,Fiorentina,Fiorentina,2,3
06/05/2018,Lazio,Atalanta,Draw,1,1
06/05/2018,Napoli,Torino,Draw,2,2
06/05/2018,Spal,Benevento,Spal,2,0
06/05/2018,Sassuolo,Sampdoria,Sassuolo,1,0
06/05/2018,Cagliari,Roma,Roma,0,1
12/05/2018,Benevento,Genoa,Benevento,1,0
12/05/2018,Inter Milan,Sassuolo,Sassuolo,1,2
13/05/2018,Bologna,Chievo,Chievo,1,2
13/05/2018,Crotone,Lazio,Draw,2,2
13/05/2018,Fiorentina,Cagliari,Cagliari,0,1
13/05/2018,Torino,Spal,Torino,2,1
13/05/2018,Verona,Udinese,Udinese,0,1
13/05/2018,Atalanta,AC Milan,Draw,1,1
13/05/2018,Roma,Juventus,Draw,0,0
13/05/2018,Sampdoria,Napoli,Napoli,0,2
19/05/2018,Juventus,Verona,Juventus,2,1
20/05/2018,Genoa,Torino,Torino,1,2
20/05/2018,AC Milan,Fiorentina,AC Milan,5,1
20/05/2018,Cagliari,Atalanta,Cagliari,1,0
20/05/2018,Chievo,Benevento,Chievo,1,0
20/05/2018,Napoli,Crotone,Napoli,2,1
20/05/2018,Spal,Sampdoria,Spal,3,1
20/05/2018,Udinese,Bologna,Udinese,1,0
20/05/2018,Lazio,Inter Milan,Inter Milan,2,3
20/05/2018,Sassuolo,Roma,Roma,0,1
18/08/2018,Chievoverona,Juventus,Juventus,2,3
18/08/2018,Lazio,Napoli,Napoli,1,2
19/08/2018,Torino,Roma,Roma,0,1
19/08/2018,Bologna,Spal,Spal,0,1
19/08/2018,Empoli,Cagliari,Empoli,2,0
19/08/2018,Parma,Udinese,Draw,2,2
19/08/2018,Sassuolo,Inter,Sassuolo,1,0
20/08/2018,Atalanta,Frosinone,Atalanta,4,0
25/08/2018,Juventus,Lazio,Juventus,2,0
25/08/2018,Napoli,Milan,Napoli,3,2
26/08/2018,Spal,Parma,Spal,1,0
26/08/2018,Cagliari,Sassuolo,Draw,2,2
26/08/2018,Fiorentina,Chievoverona,Fiorentina,6,1
26/08/2018,Frosinone,Bologna,Draw,0,0
26/08/2018,Genoa,Empoli,Genoa,2,1
26/08/2018,Inter,Torino,Draw,2,2
26/08/2018,Udinese,Sampdoria,Udinese,1,0
27/08/2018,Roma,Atalanta,Draw,3,3
31/08/2018,Milan,Roma,Milan,2,1
01/09/2018,Bologna,Inter,Inter,0,3
01/09/2018,Parma,Juventus,Juventus,1,2
02/09/2018,Fiorentina,Udinese,Fiorentina,1,0
02/09/2018,Atalanta,Cagliari,Cagliari,0,1
02/09/2018,Chievoverona,Empoli,Draw,0,0
02/09/2018,Lazio,Frosinone,Lazio,1,0
02/09/2018,Sampdoria,Napoli,Sampdoria,3,0
02/09/2018,Sassuolo,Genoa,Sassuolo,5,3
02/09/2018,Torino,Spal,Torino,1,0
15/09/2018,Inter,Parma,Parma,0,1
15/09/2018,Napoli,Fiorentina,Napoli,1,0
15/09/2018,Frosinone,Sampdoria,Sampdoria,0,5
16/09/2018,Roma,Chievoverona,Draw,2,2
16/09/2018,Genoa,Bologna,Genoa,1,0
16/09/2018,Juventus,Sassuolo,Juventus,2,1
16/09/2018,Udinese,Torino,Draw,1,1
16/09/2018,Empoli,Lazio,Lazio,0,1
16/09/2018,Cagliari,Milan,Draw,1,1
17/09/2018,Spal,Atalanta,Spal,2,0
19/09/2018,Sampdoria,Fiorentina,Draw,1,1
21/09/2018,Sassuolo,Empoli,Sassuolo,3,1
22/09/2018,Parma,Cagliari,Parma,2,0
22/09/2018,Fiorentina,Spal,Fiorentina,3,0
22/09/2018,Sampdoria,Inter,Inter,0,1
23/09/2018,Torino,Napoli,Napoli,1,3
23/09/2018,Bologna,Roma,Bologna,2,0
23/09/2018,Chievoverona,Udinese,Udinese,0,2
23/09/2018,Lazio,Genoa,Lazio,4,1
23/09/2018,Milan,Atalanta,Draw,2,2
23/09/2018,Frosinone,Juventus,Juventus,0,2
25/09/2018,Inter,Fiorentina,Inter,2,1
26/09/2018,Udinese,Lazio,Lazio,1,2
26/09/2018,Atalanta,Torino,Draw,0,0
26/09/2018,Cagliari,Sampdoria,Draw,0,0
26/09/2018,Genoa,Chievoverona,Genoa,2,0
26/09/2018,Juventus,Bologna,Juventus,2,0
26/09/2018,Napoli,Parma,Napoli,3,0
