Match Number,Round Number,Date,Location,Home Team,Away Team,Result,Home Score,Away Score
239,24,08-02-2026 16:00,Ettore Giardiniero - Via del mare,Lecce,Udinese,,,
240,24,08-02-2026 16:00,San Siro,Milan,Como,,,
241,25,15-02-2026 16:00,Unipol Domus,Cagliari,Lecce,,,
242,25,15-02-2026 16:00,Giuseppe Sinigaglia,Como,Fiorentina,,,
243,25,15-02-2026 16:00,Giovanni Zini,Cremonese,Genoa,,,
244,25,15-02-2026 16:00,Giuseppe Meazza,Inter,Juventus,,,
245,25,15-02-2026 16:00,Olimpico,Lazio,Atalanta,,,
246,25,15-02-2026 16:00,Diego Armando Maradona,Napoli,Roma,,,
247,25,15-02-2026 16:00,Ennio Tardini,Parma,Hellas Verona,,,
248,25,15-02-2026 16:00,Garibaldi,Pisa,Milan,,,
249,25,15-02-2026 16:00,Olimpico Grande Torino,Torino,Bologna,,,
250,25,15-02-2026 16:00,Friuli,Udinese,Sassuolo,,,
251,26,22-02-2026 16:00,Atleti Azzurri d'Italia,Atalanta,Napoli,,,
252,26,22-02-2026 16:00,Renato Dall'Ara,Bologna,Udinese,,,
253,26,22-02-2026 16:00,Unipol Domus,Cagliari,Lazio,,,
254,26,22-02-2026 16:00,Artemio Franchi,Fiorentina,Pisa,,,
255,26,22-02-2026 16:00,Luigi Ferraris,Genoa,Torino,,,
256,26,22-02-2026 16:00,Juventus Stadium,Juventus,Como,,,
257,26,22-02-2026 16:00,Ettore Giardiniero - Via del mare,Lecce,Inter,,,
258,26,22-02-2026 16:00,San Siro,Milan,Parma,,,
259,26,22-02-2026 16:00,Olimpico,Roma,Cremonese,,,
260,26,22-02-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Hellas Verona,,,
261,27,01-03-2026 16:00,Giovanni Zini,Cremonese,Milan,,,
262,27,01-03-2026 16:00,Giuseppe Meazza,Inter,Genoa,,,
263,27,01-03-2026 16:00,Ennio Tardini,Parma,Cagliari,,,
264,27,01-03-2026 16:00,Garibaldi,Pisa,Bologna,,,
265,27,01-03-2026 16:00,Olimpico,Roma,Juventus,,,
266,27,01-03-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Napoli,,,
267,27,01-03-2026 16:00,Friuli,Udinese,Fiorentina,,,
268,27,01-03-2026 16:00,Olimpico Grande Torino,Torino,Lazio,,,
269,27,01-03-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Atalanta,,,
270,27,01-03-2026 16:00,Giuseppe Sinigaglia,Como,Lecce,,,
271,28,08-03-2026 16:00,Diego Armando Maradona,Napoli,Torino,,,
272,28,08-03-2026 16:00,Atleti Azzurri d'Italia,Atalanta,Udinese,,,
273,28,08-03-2026 16:00,Unipol Domus,Cagliari,Como,,,
274,28,08-03-2026 16:00,Artemio Franchi,Fiorentina,Parma,,,
275,28,08-03-2026 16:00,Luigi Ferraris,Genoa,Roma,,,
276,28,08-03-2026 16:00,Juventus Stadium,Juventus,Pisa,,,
277,28,08-03-2026 16:00,Olimpico,Lazio,Sassuolo,,,
278,28,08-03-2026 16:00,Ettore Giardiniero - Via del mare,Lecce,Cremonese,,,
279,28,08-03-2026 16:00,San Siro,Milan,Inter,,,
280,28,08-03-2026 16:00,Renato Dall'Ara,Bologna,Hellas Verona,,,
